1,青田,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
2,市野谷,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
3,後平井,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
4,江戸川台西1丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
5,江戸川台西2丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
6,江戸川台西3丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
7,江戸川台西4丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
8,江戸川台東1丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
9,江戸川台東2丁目,水曜日、土曜日,火曜日,第1、第3火曜日,第2、第4火曜日
10,江戸川台東3丁目,水曜日、土曜日,火曜日,第1、第3火曜日,第2、第4火曜日
11,江戸川台東4丁目,水曜日、土曜日,火曜日,第1、第3火曜日,第2、第4火曜日
12,大畔,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
13,おおたかの森北一丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
14,おおたかの森北二丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
15,おおたかの森北三丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
16,おおたかの森西一丁目,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
17,おおたかの森西二丁目,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
18,おおたかの森西三丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
19,おおたかの森西四丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
20,おおたかの森東一丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
21,おおたかの森東二丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
22,おおたかの森東三丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
23,おおたかの森東四丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
24,おおたかの森南一丁目,火曜日、金曜日,木曜日,第1、第3木曜日,第2、第4木曜日
25,おおたかの森南二丁目,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
26,おおたかの森南三丁目,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
27,思井,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
28,思井一丁目,月曜日、木曜日,水曜日,第1、第3水曜日,第2、第4水曜日
29,加,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
30,加一丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
31,加二丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
32,加三丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
33,加四丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
34,加五丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
35,加六丁目,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
36,上貝塚,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
37,上新宿,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
38,上新宿新田,水曜日、土曜日,月曜日,第1、第3月曜日,第2、第4月曜日
39,木,火曜日、金曜日,水曜日,第1、第3水曜日,第2、第4水曜日
